"",,,,Linear model training time,,
"",,,AIC,,BIC,
"",,Proposed method,,HLM with brute force Proposed method,,HLM with brute force
σ,p,(Gurobi),lmSelect,(Gurobi) (Gurobi),lmSelect,(Gurobi)
0.05,20,0.049,0.009,1.140 0.047,0.002,1.140
"",25,0.063,0.003,2.989 0.062,0.003,2.989
"",30,0.085,0.003,9.551 0.069,0.003,9.551
"",35,0.196,0.004,58.876 0.086,0.004,58.876
"",40,0.179,0.004,224.310 0.094,0.004,224.310
"",45,0.214,0.007,1384.208 0.123,0.005,1384.208
"",50,0.381,0.007,– 0.149,0.006,–
0.1,20,0.059,0.003,1.252 0.055,0.003,1.252
"",25,0.065,0.003,3.347 0.060,0.003,3.347
"",30,0.084,0.004,10.526 0.074,0.003,10.526
"",35,0.169,0.005,51.952 0.111,0.005,51.952
"",40,0.215,0.005,198.132 0.106,0.005,198.132
"",45,0.229,0.006,1441.896 0.120,0.006,1441.896
"",50,1.012,0.007,– 0.185,0.008,–
0.5,20,0.070,0.003,1.187 0.059,0.003,1.187
"",25,0.073,0.004,2.900 0.076,0.004,2.900
"",30,0.102,0.004,10.476 0.084,0.004,10.476
"",35,0.141,0.005,54.417 0.113,0.005,54.417
"",40,0.194,0.006,206.109 0.122,0.006,206.109
"",45,0.353,0.007,1411.889 0.164,0.007,1411.889
"",50,0.397,0.007,– 0.146,0.007,–
1,20,0.057,0.003,1.239 0.049,0.002,1.239
"",25,0.063,0.004,3.074 0.076,0.003,3.074
"",30,0.085,0.005,11.753 0.071,0.004,11.753
"",35,0.124,0.005,65.864 0.091,0.004,65.864
"",40,0.283,0.005,202.285 0.117,0.005,202.285
"",45,0.275,0.007,1490.630 0.126,0.006,1490.630
"",50,0.400,0.007,– 0.143,0.008,–
5,20,0.086,0.003,1.314 0.075,0.003,1.314
"",25,0.095,0.004,3.085 0.093,0.004,3.085
"",30,0.126,0.004,11.729 0.133,0.005,11.729
"",35,0.154,0.004,45.243 0.164,0.006,45.243
"",40,0.433,0.006,155.281 0.254,0.010,155.281
"",45,0.309,0.007,1231.948 0.606,0.020,1231.948
"",50,0.388,0.008,– 1.151,0.035,–
"",,,,Linear model support recovery accuracy,,
"",,,AIC,,BIC,
"",,Proposed method,,HLM with brute force Proposed method,,HLM with brute force
σ,p,(Gurobi),lmSelect,(Gurobi) (Gurobi),lmSelect,(Gurobi)
0.05,20,0.91 (0.02),0.91 (0.02),0.91 (0.02) 1.00 (0.00),1.00 (0.00),1.00 (0.00)
